id_estado;estado;municipio;id_municipio;suma_votos_validos;suma_votos_nulos;suma_EG;suma_NM;suma_LM;suma_JABE;suma_JOBR;suma_AE;suma_CF;suma_DC;suma_EM;suma_BERA;total_otros_candidatos;porc_EG;porc_NM;porc_otros
11;Falcón;tocopero;1122;3252;0;1971;1213;30;1;6;10;4;4;9;4;68;60,60885609;37,300123;2,09102091
11;Falcón;union;1123;7473;1;4522;2770;81;30;15;23;6;4;16;6;181;60,51117356;37,06677372;2,422052723
11;Falcón;urumaco;1124;4901;0;3033;1772;38;8;6;15;1;4;12;12;96;61,88532952;36,15588655;1,958783922
11;Falcón;zamora;1125;15367;1;10590;4417;138;20;34;75;19;12;45;17;360;68,91390642;28,74341121;2,342682371
12;Guárico;camaguan;1201;9935;3;6041;3622;118;17;26;35;11;10;49;6;272;60,80523402;36,45697031;2,737795672
12;Guárico;chaguaramas;1202;7124;0;4410;2559;77;10;8;19;3;7;19;12;155;61,90342504;35,92083099;2,175743964
12;Guárico;el socorro;1203;11055;2;7403;3456;86;5;17;20;8;10;30;20;196;66,96517413;31,26187246;1,772953415
12;Guárico;san geronimo de g;1204;7699;0;3809;3783;50;9;3;10;8;5;16;6;107;49,47395766;49,13625146;1,389790882
12;Guárico;infante;1205;56594;4;39266;16059;431;150;114;220;64;39;149;102;1269;69,38191328;28,37579955;2,242287168
12;Guárico;juan jose rondon;1206;14382;5;8010;6023;158;22;37;35;19;9;51;18;349;55,69461827;41,87873731;2,426644417
12;Guárico;mellado;1207;13790;1;8266;5245;107;14;20;48;10;14;41;25;279;59,94198695;38,03480783;2,023205221
12;Guárico;miranda;1208;64127;5;40379;22195;579;116;126;267;61;70;185;149;1553;62,96723689;34,61100628;2,421756826
12;Guárico;monagas;1209;33585;1;19580;13269;265;48;69;120;38;31;86;79;736;58,29983624;39,50870925;2,191454518
12;Guárico;ortiz;1210;10036;0;6376;3474;68;24;15;33;3;3;27;13;186;63,53128737;34,61538462;1,853328019
12;Guárico;ribas;1211;19989;2;12417;7232;145;18;32;44;11;12;56;22;340;62,11916554;36,17989894;1,700935515
12;Guárico;juan german rosc;1212;58555;6;40086;17171;416;83;121;248;70;63;147;150;1298;68,45871403;29,32456665;2,216719324
12;Guárico;s jose de guaribe;1213;4380;1;2174;2109;37;0;13;16;7;4;16;4;97;49,6347032;48,15068493;2,214611872
12;Guárico;s maria de ipire;1214;7367;0;4577;2610;81;8;20;23;6;9;28;5;180;62,12841048;35,42826116;2,443328356
12;Guárico;zaraza;1215;26569;5;18201;7829;225;32;41;93;23;19;76;30;539;68,50464827;29,46667169;2,028680041
13;Lara;andres e blanco;1301;26823;3;14800;11381;236;53;68;99;26;37;69;54;642;55,17652761;42,4300041;2,393468292
13;Lara;crespo;1302;25338;2;16271;8397;233;77;51;106;28;21;79;75;670;64,21580235;33,1399479;2,644249743
13;Lara;iribarren;1303;335589;32;244575;82155;2453;798;699;1889;413;420;780;1407;8859;72,8793256;24,48083817;2,639836228
13;Lara;jimenez;1304;51958;2;34224;16410;453;147;114;263;56;59;112;120;1324;65,86858617;31,58320182;2,548212017
13;Lara;moran;1305;53530;6;32298;19828;566;113;131;234;59;71;149;81;1404;60,33626004;37,04091164;2,622828321
13;Lara;palavecino;1306;51362;4;38928;11235;315;75;96;226;71;45;118;253;1199;75,79144114;21,8741482;2,334410654
13;Lara;torres;1308;92498;8;60300;30291;597;265;178;301;92;94;261;119;1907;65,19059872;32,74773509;2,061666198
13;Lara;urdaneta;1309;32377;1;16684;15041;237;69;81;92;22;32;79;40;652;51,53040739;46,4558174;2,013775211
14;Mérida;alberto adriani;1401;52292;3;41183;10306;298;44;56;169;21;40;118;57;803;78,75583263;19,70855963;1,535607741
14;Mérida;andres bello;1402;7410;0;5293;2005;39;4;5;22;6;3;16;17;112;71,43049933;27,05802969;1,511470985
14;Mérida;antonio pinto s.;1403;13039;0;9913;2906;109;10;13;24;9;7;34;14;220;76,02576885;22,2869852;1,687245954
14;Mérida;aricagua;1404;2653;0;1717;884;23;1;7;5;0;6;9;1;52;64,71918583;33,32076894;1,960045232
14;Mérida;arzobispo chacon;1405;7226;1;5193;1925;47;1;12;11;0;3;28;6;108;71,86548575;26,63991143;1,494602823
14;Mérida;campo elias;1406;47473;12;35863;10531;366;54;81;243;38;29;152;116;1079;75,54399343;22,18313568;2,272870895
14;Mérida;caracciolo parra;1407;13017;1;9517;3288;84;11;19;27;2;11;45;13;212;73,1120842;25,25927633;1,628639471
14;Mérida;cardenal quintero;1408;5686;0;4676;912;46;2;8;11;3;6;19;3;98;82,23707351;16,03939501;1,723531481
14;Mérida;guaraque;1409;5024;0;3841;1179;2;0;0;1;0;0;1;0;4;76,45302548;23,46735669;0,079617834
14;Mérida;julio cesar salas;1410;8275;0;5653;2524;39;14;3;21;4;1;13;3;98;68,3141994;30,50151057;1,18429003
14;Mérida;justo briceño;1411;3121;0;1973;1100;14;10;2;8;1;0;11;2;48;63,21691765;35,24511375;1,5379686
14;Mérida;libertador;1412;107019;10;84823;20210;614;108;139;475;116;73;224;237;1986;79,25975761;18,88449715;1,855745241
14;Mérida;miranda;1413;12293;0;9356;2706;108;3;19;26;10;11;40;14;231;76,10835435;22,01252745;1,879118197
14;Mérida;ob. ramos de lora;1414;13412;0;9552;3718;66;5;11;18;5;5;27;5;142;71,21980316;27,72144348;1,058753355
14;Mérida;padre noguera;1415;1640;0;1192;418;16;0;2;2;0;4;3;3;30;72,68292683;25,48780488;1,829268293
14;Mérida;pueblo llano;1416;6264;0;5554;642;27;8;5;4;1;3;12;8;68;88,66538953;10,24904215;1,085568327
14;Mérida;rangel;1417;10173;1;8087;1908;67;4;10;20;10;12;28;27;178;79,49474098;18,75552934;1,749729677
14;Mérida;rivas davila;1418;10526;3;9098;1273;62;9;7;21;7;7;28;14;155;86,43359301;12,09386282;1,472544176
14;Mérida;santos marquina;1419;9107;0;6910;2018;63;11;9;37;13;7;20;19;179;75,87570001;22,15877896;1,965521028
